#Fields:
#1:ID
#2:m_obs up.res
#3:err_m_obs up.res
#4:m_obs g.res
#5:err_m_obs g.res
#6:m_obs r.res
#7:err_m_obs r.res
#8:m_obs i.res
#9:err_m_obs i.res
#10:m_obs z.res
#11:err_m_obs z.res
#12:m_obs y.res
#13:err_m_obs y.res
#14:m_obs 4400.res
#15:err_m_obs 4400.res
#16:m_obs 4500.res
#17:err_m_obs 4500.res
#18:m_obs 4600.res
#19:err_m_obs 4600.res
#20:m_obs 4700.res
#21:err_m_obs 4700.res
#22:m_obs 4800.res
#23:err_m_obs 4800.res
#24:m_obs 4900.res
#25:err_m_obs 4900.res
#26:m_obs 5000.res
#27:err_m_obs 5000.res
#28:m_obs 5100.res
#29:err_m_obs 5100.res
#30:m_obs 5200.res
#31:err_m_obs 5200.res
#32:m_obs 5300.res
#33:err_m_obs 5300.res
#34:m_obs 5400.res
#35:err_m_obs 5400.res
#36:m_obs 5500.res
#37:err_m_obs 5500.res
#38:m_obs 5600.res
#39:err_m_obs 5600.res
#40:m_obs 5700.res
#41:err_m_obs 5700.res
#42:m_obs 5800.res
#43:err_m_obs 5800.res
#44:m_obs 5900.res
#45:err_m_obs 5900.res
#46:m_obs 6000.res
#47:err_m_obs 6000.res
#48:m_obs 6100.res
#49:err_m_obs 6100.res
#50:m_obs 6200.res
#51:err_m_obs 6200.res
#52:m_obs 6300.res
#53:err_m_obs 6300.res
#54:m_obs 6400.res
#55:err_m_obs 6400.res
#56:m_obs 6500.res
#57:err_m_obs 6500.res
#58:m_obs 6600.res
#59:err_m_obs 6600.res
#60:m_obs 6700.res
#61:err_m_obs 6700.res
#62:m_obs 6800.res
#63:err_m_obs 6800.res
#64:m_obs 6900.res
#65:err_m_obs 6900.res
#66:m_obs 7000.res
#67:err_m_obs 7000.res
#68:m_obs 7100.res
#69:err_m_obs 7100.res
#70:m_obs 7200.res
#71:err_m_obs 7200.res
#72:m_obs 7300.res
#73:err_m_obs 7300.res
#74:m_obs 7400.res
#75:err_m_obs 7400.res
#76:m_obs 7500.res
#77:err_m_obs 7500.res
#78:m_obs 7600.res
#79:err_m_obs 7600.res
#80:m_obs 7700.res
#81:err_m_obs 7700.res
#82:m_obs 7800.res
#83:err_m_obs 7800.res
#84:m_obs 7900.res
#85:err_m_obs 7900.res
#86:m_obs 8000.res
#87:err_m_obs 8000.res
#88:m_obs 8100.res
#89:err_m_obs 8100.res
#90:m_obs 8200.res
#91:err_m_obs 8200.res
#92:m_obs 8300.res
#93:err_m_obs 8300.res
#94:m_obs 8400.res
#95:err_m_obs 8400.res
#96:m_obs 8500.res
#97:err_m_obs 8500.res
#98:z_true
#99:m_obs prior
#100:template
#101:E(B-V)
#102:Mr
0  23.1017 0.1290 21.9452 0.0360 20.5149 0.0240 19.5162 0.0223 19.1575 0.0227 18.9306 0.0247 22.3321 0.1020 21.9729 0.0963 22.2089 0.0909 22.1632 0.0861 21.9361 0.0812 21.9624 0.0762 21.7627 0.0716 21.6319 0.0678 21.6179 0.0646 21.5523 0.0599 21.5006 0.0545 21.2817 0.0625 21.2236 0.0501 21.1275 0.0464 21.1175 0.0475 20.9402 0.0446 20.8723 0.0392 20.8190 0.0382 20.6543 0.0502 20.5424 0.0481 20.4891 0.0331 20.5113 0.0319 20.4305 0.0310 20.3250 0.0302 20.1374 0.0294 19.9450 0.0276 19.9190 0.0271 19.9296 0.0272 19.8361 0.0263 19.7794 0.0265 19.7980 0.0260 19.6499 0.0263 19.5827 0.0263 19.5060 0.0256 19.4680 0.0260 19.3917 0.0247 19.3848 0.0247 19.3486 0.0247 19.3149 0.0253 19.2921 0.0252 19.2564 0.0248 19.2807 0.0248 0.7230 11.46
1  24.9866 0.5673 23.7936 0.1710 22.7488 0.0801 21.7962 0.0433 21.0412 0.0461 21.0249 0.0745 23.6805 0.4767 24.1741 0.4626 24.5099 0.4484 24.3157 0.4338 24.2164 0.4185 24.2033 0.4028 23.7854 0.3864 22.7612 0.3726 23.5563 0.3569 23.7334 0.3363 23.4097 0.3184 23.4707 0.3862 23.2603 0.2998 23.1366 0.2755 23.5714 0.2937 23.4412 0.2752 23.3830 0.2245 23.1926 0.2074 22.9360 0.3037 22.3454 0.3073 22.5371 0.1705 22.9113 0.1498 22.7292 0.1406 22.4145 0.1343 22.3561 0.1415 22.5054 0.1332 22.1287 0.1169 22.2775 0.1121 22.4631 0.1077 22.2558 0.1098 22.0506 0.0984 22.1588 0.1026 21.9059 0.0946 21.5486 0.0850 21.7676 0.0933 21.5786 0.0771 21.4677 0.0753 21.5924 0.0756 21.5418 0.0865 21.5164 0.0806 21.4481 0.0707 21.2072 0.0690 0.9150 12.12
2  21.7096 0.0598 20.2523 0.0228 19.1902 0.0219 18.8370 0.0218 18.5340 0.0220 18.4082 0.0228 20.6935 0.0352 20.5594 0.0336 20.4585 0.0324 20.3562 0.0302 20.2614 0.0295 20.1447 0.0284 20.0265 0.0275 19.8442 0.0262 19.7562 0.0259 19.7259 0.0255 19.6374 0.0253 19.6059 0.0264 19.5410 0.0248 19.4163 0.0244 19.3730 0.0245 19.3496 0.0244 19.2366 0.0240 19.2103 0.0239 19.2208 0.0254 19.2098 0.0256 19.1943 0.0237 19.1815 0.0235 19.1423 0.0235 19.2088 0.0234 19.0571 0.0235 18.9787 0.0233 18.9680 0.0232 18.9673 0.0232 18.9404 0.0230 18.9622 0.0231 18.8962 0.0230 18.8998 0.0232 18.8148 0.0234 18.8339 0.0231 18.8012 0.0233 18.7849 0.0229 18.7776 0.0229 18.7459 0.0229 18.7665 0.0232 18.7388 0.0231 18.6900 0.0229 18.6192 0.0229 0.2786 15.75
3  23.6400 0.2561 22.3122 0.0438 20.7571 0.0252 20.2477 0.0238 19.8576 0.0255 19.7505 0.0322 22.7667 0.1518 22.5580 0.1371 22.2441 0.1204 22.2894 0.1106 22.3317 0.1021 22.0922 0.0940 21.9648 0.0862 21.9066 0.0805 21.9716 0.0779 21.7960 0.0690 21.5882 0.0634 21.5852 0.0789 21.3877 0.0612 21.3087 0.0547 21.0842 0.0507 20.9829 0.0475 20.9492 0.0431 20.8977 0.0415 20.9837 0.0568 20.8230 0.0574 20.6980 0.0367 20.6094 0.0337 20.5796 0.0330 20.5484 0.0328 20.4275 0.0336 20.4010 0.0326 20.3691 0.0320 20.3908 0.0324 20.3443 0.0312 20.3195 0.0321 20.3690 0.0314 20.3126 0.0332 20.3113 0.0338 20.2845 0.0326 20.2057 0.0335 20.1260 0.0304 20.1338 0.0303 20.0675 0.0303 20.0394 0.0324 20.0492 0.0319 20.0378 0.0308 20.0316 0.0312 0.4587 10.68
4  28.4977 1.3484 25.0815 0.3092 23.4394 0.1135 22.7605 0.0922 22.6122 0.1320 22.0714 0.2245 23.1118 0.9451 25.3264 0.8617 24.1851 0.7934 24.6753 0.7432 24.5859 0.6922 24.3322 0.6405 24.3058 0.5915 25.8202 0.5718 24.4404 0.5371 24.9436 0.4720 24.6996 0.4599 23.9251 0.5500 22.9227 0.4230 23.3041 0.3528 23.8431 0.3490 23.8342 0.3431 23.2692 0.2918 23.3299 0.2846 24.3973 0.4192 23.7496 0.4155 23.3124 0.2298 22.8349 0.2062 23.0640 0.2009 22.8736 0.2008 23.3794 0.2082 22.9872 0.2017 22.7435 0.1965 23.0668 0.1980 23.1164 0.1897 23.0682 0.2028 22.9064 0.1944 22.5519 0.2071 22.9199 0.2163 22.7733 0.2043 22.5404 0.2226 22.5369 0.1832 22.7492 0.1825 22.2708 0.1842 22.9281 0.2138 22.4206 0.2085 22.4403 0.1932 22.7182 0.1967 0.4415 11.97
5  29.6835 1.6448 27.4716 0.6960 24.8474 0.3936 23.7507 0.2101 22.7887 0.1719 22.3658 0.2364 25.4394 1.4321 26.9480 1.4042 26.3037 1.3787 25.0254 1.3556 24.9105 1.3344 26.0174 1.3151 26.3626 1.2984 26.2629 1.2901 24.0643 1.2715 28.0469 1.2331 24.5612 1.2023 26.1337 1.3898 25.2821 1.1743 26.6309 1.0997 23.8743 1.1388 25.9538 1.0881 26.3632 0.9553 24.5285 0.9054 24.9136 1.1888 25.8772 1.1913 25.7711 0.7553 24.7027 0.6870 25.7496 0.6679 24.9450 0.6388 24.9723 0.6178 24.0653 0.5600 23.9012 0.5277 23.7900 0.5199 24.1184 0.4818 23.9519 0.4907 24.5357 0.4484 23.5908 0.4674 23.3121 0.4784 23.8389 0.4682 22.7704 0.4947 23.5015 0.3866 23.6810 0.3657 23.2657 0.3701 23.7933 0.4388 23.3280 0.4189 22.9593 0.3675 22.5344 0.3522 1.1721 6.89
6  26.3292 1.1950 25.6731 0.4241 23.6584 0.1787 22.7461 0.0878 21.9372 0.0855 21.8391 0.1415 23.8509 1.0292 23.9658 1.0078 23.7502 0.9876 25.5537 0.9623 24.8385 0.9346 24.7350 0.9025 27.1573 0.8683 25.1673 0.8308 23.0496 0.7891 24.8635 0.7400 25.7760 0.6980 24.4413 0.8104 24.4657 0.6423 24.0747 0.5858 24.4622 0.6130 23.5370 0.5874 24.4281 0.4891 24.5529 0.4376 24.5833 0.6076 23.4496 0.6210 23.6584 0.3640 23.1538 0.3265 23.2835 0.3090 23.5743 0.2960 23.5770 0.3028 23.6978 0.2927 23.3245 0.2671 23.4795 0.2471 23.2254 0.2284 22.9193 0.2491 23.5448 0.2318 23.1186 0.2390 22.5677 0.2321 23.0087 0.1926 22.7432 0.1899 22.6156 0.1581 22.4037 0.1588 22.3901 0.1549 22.5648 0.1768 22.2661 0.1681 22.4852 0.1466 22.1901 0.1419 0.9392 7.70
7  24.4229 1.9868 27.9614 0.9088 25.2515 0.5404 24.3625 0.2909 23.5811 0.2749 22.9222 0.4118 27.4243 1.7688 25.7954 1.7389 24.9645 1.7107 27.3522 1.6849 25.9319 1.6595 23.6426 1.6323 25.5049 1.6024 22.8826 1.5791 25.3268 1.5459 24.4280 1.4951 24.5632 1.4491 22.6892 1.6478 26.9215 1.4112 22.5314 1.3403 27.7330 1.3906 27.3651 1.3392 23.9715 1.1914 24.5716 1.1457 25.4795 1.4945 23.5858 1.5110 24.9156 0.9902 23.9148 0.8861 24.7753 0.8516 24.7956 0.8310 24.7181 0.8435 24.1476 0.7946 24.7427 0.7434 23.8549 0.7215 24.9747 0.6681 24.8095 0.6986 24.5612 0.6449 25.3754 0.6450 23.6310 0.6505 26.2088 0.6478 24.9277 0.6922 24.9966 0.5651 24.5180 0.5482 23.7214 0.5024 24.2356 0.5068 23.9517 0.4784 23.3413 0.4473 23.6551 0.4488 1.0512 10.83
8  25.3426 1.9569 24.2476 0.4155 24.2996 0.2496 24.2695 0.2213 23.3666 0.3263 23.6587 0.5289 26.9013 1.2159 26.7639 1.0115 24.3897 0.9711 24.7811 0.9296 24.4315 0.8857 26.1185 0.8089 25.2002 0.7380 24.9585 0.6999 24.8997 0.6768 25.2561 0.6387 24.1478 0.6226 24.4584 0.7631 24.2280 0.6388 24.8420 0.6228 25.2051 0.6772 23.6596 0.6341 24.6269 0.5480 24.5788 0.5369 24.1256 0.7608 24.5607 0.7918 24.4742 0.4947 24.7277 0.4664 23.3721 0.4619 23.6336 0.4501 24.2215 0.4671 24.0389 0.4565 24.3527 0.4502 23.7636 0.4584 23.3067 0.4316 23.6770 0.4450 24.6370 0.4186 22.9720 0.4567 23.8675 0.4837 24.4517 0.4716 23.5836 0.5103 23.6470 0.4336 23.8542 0.4477 24.2938 0.4513 23.1167 0.4967 23.0568 0.4729 23.9357 0.4353 24.0445 0.4503 0.1268 6.64
9  28.5890 1.3932 25.4705 0.5764 25.4761 0.4014 23.8578 0.2215 23.0615 0.1984 22.1853 0.2726 24.3303 1.2345 24.5851 1.2085 24.2868 1.1878 26.4833 1.1693 26.5779 1.1501 24.7292 1.1313 25.7571 1.1138 24.9203 1.1031 22.1286 1.0873 24.7830 1.0595 25.6535 1.0400 24.2370 1.2247 24.5470 1.0372 25.7427 0.9896 24.3633 1.0488 24.8943 1.0170 23.6457 0.9015 27.4762 0.8708 23.3258 1.1714 24.7214 1.1948 25.4249 0.7697 23.7962 0.7020 23.0666 0.6747 25.1077 0.6563 24.2881 0.6742 25.0321 0.6427 24.2451 0.5983 23.9655 0.5680 24.0805 0.5136 24.1603 0.5222 23.6454 0.4815 25.1032 0.5047 23.0840 0.5156 23.5933 0.4869 23.6995 0.5079 23.2258 0.4124 23.5345 0.4078 23.0776 0.4102 23.9622 0.4464 23.9429 0.4002 22.9915 0.3557 23.5543 0.3711 1.2652 10.47
